rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
4,4.2,28,20,$$,9,14.473,19,1111,French #380,Rest_380,0,NA
3.5,3.6,243,20,$$,11.4,18.33,20,1196,French #381,Rest_381,0,NA
4,4,6,10,$,16.5,26.482,27,1627,French #382,Rest_382,0,NA
3.5,3.7,161,20,$$,20.6,33.2,32,1925,French #383,Rest_383,0,NA
3.5,3.4,132,20,$$,13.8,22.15,27,1632,French #384,Rest_384,0,NA
3.5,3.4,50,20,$$,10.5,16.87,20,1211,French #385,Rest_385,0,NA
4,3.9,402,20,$$,19.7,31.691,33,1950,French #386,Rest_386,0,NA
4,3.8,606,45,$$$,18.8,30.293,33,1963,French #387,Rest_387,0,NA
3.5,3.7,389,20,$$,19.8,31.867,33,1970,French #388,Rest_388,0,NA
3.5,3.4,253,20,$$,18.5,29.789,32,1890,French #389,Rest_389,0,NA
4.5,4.3,23,20,$$,14.1,22.623,26,1550,French #390,Rest_390,0,NA
3.5,3.6,8,20,$$,13.6,21.825,22,1348,French #391,Rest_391,0,NA
5,5,1,10,$,15.6,25.116,32,1901,French #392,Rest_392,0,NA
4,4,3,10,$,13.7,21.982,23,1406,French #393,Rest_393,0,NA
3,3.1,14,20,$$,13.7,22,24,1412,French #394,Rest_394,0,NA
3.5,3.7,7,20,$$,16.6,26.733,28,1673,French #395,Rest_395,0,NA
2.5,2.7,158,20,$$,16.3,26.179,29,1757,French #396,Rest_396,0,NA
3.5,3.5,99,20,$$,16.7,26.931,31,1854,French #397,Rest_397,0,NA
4.5,4.3,134,20,$$,16,25.683,27,1591,French #398,Rest_398,0,NA
4.5,4.3,346,45,$$$,16,25.75,27,1597,French #399,Rest_399,0,NA
3.5,3.3,60,20,$$,16,25.681,27,1609,French #400,Rest_400,0,NA
3,2.8,221,20,$$,16.2,26.043,28,1656,French #401,Rest_401,0,NA
2.5,2.3,335,20,$$,16.9,27.24,28,1688,French #402,Rest_402,0,NA
4,4.1,96,20,$$,28.6,46.001,44,2620,French #403,Rest_403,0,NA
4,3.8,597,20,$$,16.6,26.739,26,1561,French #404,Rest_404,0,NA
4,3.9,23,20,$$,23,36.935,40,2386,French #405,Rest_405,0,NA
